time,treated,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,treated_zero_effect,treated_small_effect,treated_large_effect
0,10.248357076505616,10.250492850345877,9.471004989077928,10.537320902726828,11.656988616645352,10.276766753889095,11.868673308872902,11.17443729849047,12.225224502647906,11.22988697394064,13.478361076166637,10.289816586606788,10.950595342876504,9.113483765896559
1,9.950867849414408,10.366448209496975,9.759818959803031,11.575142320501238,9.997834675822375,9.868315394383664,11.126661187672639,12.215803533437409,11.690594458874747,10.61801956241998,12.168814283671466,10.182898158291083,9.989669593092689,10.650960750356996
2,10.363844269050345,9.359975278421508,11.087293605123262,9.654273953664456,11.80960592010566,10.264126747022665,11.568744822934816,12.334030186282739,12.262297503032283,12.981462728204788,11.921801116577692,10.137192150788668,9.685796616544767,9.587133849568689
3,10.821514928204014,10.292253697161003,10.970370265433466,11.164046515517844,12.315637858804951,12.31364179660784,12.838451862607299,12.12067376582391,12.703298029036388,13.219155160302648,12.756625542589047,9.883416853594657,9.303142803693587,9.733116830675591
4,9.962923312638331,10.37307247329868,10.359098406035853,10.14974238162756,11.393434903223701,10.330601111168056,11.771099068019904,11.329694846154581,12.228860070325704,11.90348959927328,12.609815377475071,10.249241921730846,9.178430161872027,9.782169352978254
5,9.98293152152541,9.385648581973632,10.517327383308782,9.907127167737656,12.876795812558067,13.93238206483739,11.646436548156148,11.228376632061948,12.240591691203882,9.90895770785509,12.346771950672723,9.952299294930485,9.307932028497255,10.787219046585408
6,10.909606407753696,11.985774511144756,11.697664895788424,10.61296964004544,10.246210800896426,11.813317900880888,10.26014385902008,11.894445929008555,11.518008312193244,11.973755551747518,13.516387447456713,10.204230488134806,10.253563325505741,9.052162893010651
7,10.523717364576456,10.613832920911788,9.848428611164172,9.704757677580625,9.795345296688584,11.524836123694874,12.386253566027221,13.112729019259366,11.577099082449053,12.931804005402547,13.795305208570511,10.79879876780398,10.394362511614968,11.708874266829998
8,9.925262807032524,8.968696502797352,11.00709738117004,10.206350694652818,9.281279751095722,10.501642219818786,12.305484181141075,12.503600154594434,10.857394728200306,11.081088431225872,12.948406886291847,9.65672871736018,9.369404648983933,10.688028404533027
9,10.451280021792982,10.83655360863383,10.277807347566107,9.58212210741115,12.576044311489182,12.08030987940899,13.84325472330546,11.609385667913894,14.029576743186938,12.763359919779155,14.35753008105526,10.749939280564522,10.627519157038057,10.291619457064579
10,9.968291153593768,9.225318329772678,10.28231879677278,12.764725132916388,11.754365656354057,10.824362173762225,11.392221765047,12.771698710648344,11.056136764608715,12.584690150827004,11.758310885866493,10.858557533669932,9.95846947415828,10.172552999691856
11,9.987135123214872,11.007084603742452,11.618776851987192,10.85526355197173,11.064415329089545,11.542009814645361,11.93915032766394,9.171457379369926,11.627094802204093,13.19929149960109,12.726340540720281,10.160965736504462,10.293396505992776,10.36277703742883
12,10.360981135783017,11.398595579007404,11.365416348988031,10.140274492007414,11.419968626319822,14.000084538268794,11.989383683710756,13.188765700372105,11.621592734430802,12.759580368414154,12.223177679397194,9.179072550495704,11.046110314127713,10.50056121418967
13,9.3033598776711,9.439317681648289,11.37350963600064,11.073979910734222,10.034510952701623,11.363940100275348,13.337453279763475,10.320286221221899,13.254924376944441,11.686931059118445,11.09346338292694,9.956089006452784,10.708419657932765,10.582607792975029
14,9.417541083743483,11.243376129244322,11.885478807154328,10.76767195030917,13.625751979616826,12.629273326285674,11.684704467613047,11.717559058596866,12.085050321707971,13.876571501664491,12.897319314157299,10.928497273280554,10.145734676047082,10.557802233001723
15,10.018856235379515,10.7127809269365,10.62100384163276,10.679030400466777,11.329221181975228,10.796823574874113,12.07902152577034,10.980330105373856,13.647742072673735,12.541470426973031,12.878252491616717,10.288565968850559,9.854403887292357,10.344790340627625
16,9.813584439832788,11.14206015999449,11.301952971294964,11.534166700043425,11.329394794604893,11.485011509503037,12.42789650971654,10.825318524279094,11.746509375756132,12.692695460490068,14.53344974324213,9.820348883852544,9.244092299335348,10.221330789846338
17,10.497123666297636,12.236792982653947,10.329733243406544,11.697507710047304,11.965766623898693,13.310800635635509,12.026609123156359,13.300826787378519,12.718994162223801,11.806732040926804,13.670811684554776,10.08761253938589,9.98042334037879,10.264363358173243
18,9.905987962239394,10.11461188399713,10.984166352488442,10.429498852389472,11.741009231736713,10.93303294221223,11.41356638544947,11.692298798688107,11.624652946740241,12.31671774880849,12.035813175670794,10.780310013252276,10.254434880586151,10.262545859823659
19,9.673848149332356,9.626263835642511,10.549856945632317,10.404181759355321,11.503884024279133,13.392448557996929,12.074089992898308,12.526503881730715,14.625149127773389,11.8951972859731,14.934092566334188,10.65336678410069,9.886410236424409,10.946885048433533
20,11.132824384460777,9.510485570374478,10.79699596499272,10.724948302848356,10.50952554455469,12.307751935455475,12.973631749859772,12.153079421120815,11.312401580970487,12.627053940076578,14.321033695525353,10.280533950415153,10.334371516453848,10.696778361140431
21,10.307111849756732,9.604189715034561,11.315157025436914,8.718078835264414,11.791468357135996,11.057533224105732,10.893484700588939,12.69704082722312,12.829820710227027,14.531708480142344,13.702097703468615,10.236587794092657,10.458425941479383,8.94980568266786
22,10.473764102343962,10.362898290585896,9.921779316766528,9.524808937801447,13.222024496475033,12.27240773905552,12.072969674146876,12.316821891060254,13.173776880932097,11.468098857068643,12.913515901150166,10.24412092547809,10.32757200909596,10.76795038826488
23,9.747625906893273,10.801151974816644,12.852387275685462,12.426874267444525,12.705420046154979,12.63255444962673,11.259879185060827,10.97700777581143,12.973799097451499,11.246438602123261,12.20056076327652,9.99879490775075,10.13499870958827,10.557368097359388
24,10.20780863773741,10.75669079933002,9.773982618500298,12.724967713501284,12.973186626639398,12.301809962217195,13.175046628924843,13.276266819447141,12.394712341122291,14.351170327493609,12.807793223928947,11.287687844734721,10.564327335983364,10.470645621777052
