date,spend_tv,spend_search,spend_social,spend_display,revenue
2023-01-02,27093.061404305594,27411.861269930603,1096.170093078155,740.8320624468463,399398.2618500298
2023-01-09,61679.84013193439,8980.182416168498,4055.3529769324746,9645.159939440287,392271.01282184775
2023-01-16,50754.12748928234,13490.721844997632,11425.941997965136,8441.811144865955,660023.0591834498
2023-01-23,44068.15969079267,23155.431879205364,14146.008756161173,7111.754957890131,640778.8262577294
2023-01-30,17023.570448172522,8406.348633765429,13387.26393054941,4385.052971935564,640821.7457452564
2023-02-06,17387.07333026313,4155.437475206203,5261.116879750636,2146.296040673035,658752.4909134974
2023-02-13,11195.276639754527,10113.040681585506,14531.405205603181,1986.1519053753175,598000.0880744742
2023-02-20,65412.72217468174,6514.196043112123,5507.732662439202,2877.3075325636555,502403.0388500626
2023-02-27,47988.423928414886,28031.534265592047,7182.594265026087,5717.6533147081445,632899.61355406
2023-03-06,55292.33561252776,24627.370627803673,15183.33669724246,7288.661265650592,547114.3251627692
2023-03-13,8861.482962569073,19735.305182291857,13343.025081897078,6771.875078818447,765116.9934238474
2023-03-20,72161.77298743628,26400.896525256096,17135.24479938938,3159.372020986457,626652.0096258458
2023-03-27,62181.96433492462,24502.818153175205,13494.644953706524,9571.220166300343,541772.2596514871
2023-04-03,20941.98115186607,7223.961648809003,11797.86346337396,7510.020708609801,608219.8405851108
2023-04-10,18543.264385673254,26991.65195771938,2779.820588733757,5766.363498858306,702497.0981138793
2023-04-17,18139.31141164118,17101.58277363822,7986.600258129237,6311.347089226347,572848.5050786949
2023-04-24,24770.55860152647,24608.32434459375,6038.844985952784,4486.200593064004,534966.7140985138
2023-05-01,36543.856901519815,27090.55639785781,5635.803224202588,2853.4444002609957,663660.354290877
2023-05-08,29934.643933256215,10904.097299212188,19487.200540296464,3881.740447186985,653992.3430660939
2023-05-15,21173.81795864248,5081.453886774949,8468.856768668447,7699.538049411507,550198.7222242339
2023-05-22,36162.31149003803,8382.184551174367,17948.884548365153,636.7381419826808,542993.882973641
2023-05-29,11863.437684710034,13959.018081535176,12991.633893947996,1602.6900848157043,612369.2874122583
2023-06-05,17995.191975679238,24904.413445829807,16101.41476729132,937.0250992066511,404711.2911998065
2023-06-12,20013.66037914386,26100.456331177615,10550.10476899865,886.9236220302163,397471.54963684705
2023-06-19,22262.88536919881,2194.6596548733396,11961.173807900823,8626.875548104568,458894.87883601256
2023-06-26,32868.32160574022,16300.92447217184,10357.836182558414,7184.749664110225,495963.9405347947
2023-07-03,10632.860363096455,13687.508088165812,4709.616768162845,5004.65137632959,531090.7565598004
2023-07-10,19955.717821559192,8219.018693180447,14726.590189968601,1429.424526184514,624120.0834391022
2023-07-17,20965.73006357413,5356.230285343118,6334.6748863762605,5170.350813609907,543711.0712032921
2023-07-24,4397.860570298981,11453.224799301583,1462.003362197623,4997.981822415374,432516.8634778199
2023-07-31,18880.729506938467,28401.471709550537,13263.973622236188,2145.4177641451442,428655.02157686936
2023-08-07,7014.302396396457,11049.682096581146,4365.10290873393,4621.590667760744,331622.3992149515
2023-08-14,4198.309366399127,16526.13740881425,18868.713102705373,4285.794976775048,399048.58206319116
2023-08-21,24450.992353615886,21684.53084906498,19124.64296304916,6350.575931496056,365339.4466958459
2023-08-28,24358.004457457773,12181.62886662023,18382.42341418852,6533.389683242616,400856.5110982802
2023-09-04,20691.817657487485,29209.8983161869,8033.015304853444,930.3880928344229,306432.80050404207
2023-09-11,9442.104265068006,28948.524258379115,1293.675714048481,4058.8198389514764,397114.2922293786
2023-09-18,4853.5101220060305,9049.904283110196,18638.052689166783,6445.669199285246,462986.60951143934
2023-09-25,19166.299984559966,15922.958164986792,9135.498818028973,5279.794456510833,343456.6689752465
2023-10-02,13921.827369291326,10424.592674869551,19366.44156182972,8636.653491289062,378119.8205469259
2023-10-09,6224.760715960837,9975.533842569093,19308.779564695804,6757.589500379978,399554.7061070909
2023-10-16,17224.448523703053,3032.834525926918,17207.17965387984,2047.877057273582,325923.5322223497
2023-10-23,4417.759574989998,19067.801351437112,6594.528949322128,1170.4031003040836,375870.9084675367
2023-10-30,33193.75574324689,16075.012650408122,8316.85684343658,6602.983142959998,368106.3357157076
2023-11-06,12900.854503205122,3441.405034999702,17171.59675882028,751.8574501454073,383908.4543751608
2023-11-13,28913.274790617783,9802.10099862512,7021.518097969276,6064.868022097901,327780.5933385053
2023-11-20,16904.63461829578,27431.444807066302,4220.362187035757,9432.187293537098,402495.0211325189
2023-11-27,26926.60973544696,8707.732938675228,11579.223986708654,5967.00468982085,456103.25891920476
2023-12-04,29848.80268134976,6057.056418554246,18786.940709054837,4187.614298961958,555174.4831577725
2023-12-11,14231.267798721097,15704.677287771765,14224.566136824487,6611.2380752023555,532531.4858643259
2023-12-18,54843.35120286297,29598.21271509682,11831.162231697934,4853.402459669408,663962.1874034711
2023-12-25,47261.930892318815,8777.54760232201,2846.3533816446025,5683.3594985013815,407959.5475078727
2024-01-01,58610.461403642556,20819.795327364598,12685.137307284225,9443.915683376988,587232.063672068
2024-01-08,58433.450985878335,23325.349229204094,19811.023151981004,4167.975059107355,537077.6857138253
2024-01-15,42681.79762947444,8653.85123178719,3661.5962894939566,9631.310356327185,770599.2672735557
2024-01-22,64135.97242345743,22390.05776113207,10848.263394910999,9100.831098582605,463762.1088556141
2024-01-29,12720.283497547765,12297.927716139091,17670.088366631153,2360.0157804983164,474029.14564450696
2024-02-05,19990.08934450584,19704.563256620226,15074.603737329884,1158.9323583140717,515055.63252547086
2024-02-12,10344.599428018873,19738.831901305053,14243.299078910091,1457.3910130855531,344826.72494922124
2024-02-19,29212.314579657803,17001.691154093238,14347.197595755077,673.1073436897225,547895.1115185996
2024-02-26,33674.77951525394,4528.1135615234325,7830.331873175348,1397.20812718132,528791.6957527305
2024-03-04,25814.862850876256,25388.469876498664,6578.245041025374,6988.56434745539,651852.7950292871
2024-03-11,63240.170468268094,10981.841819208603,16377.861954091759,1176.2921603721754,684014.4556321215
2024-03-18,31231.519551233527,7222.518291195918,16392.154498904434,3530.2684877907323,887907.9382683975
2024-03-25,25836.542709694917,3141.7039635333895,17474.37405302197,8526.315454209818,772253.5402829618
2024-04-01,42331.14407402956,18545.00240927077,18351.570498572954,721.0833894903458,575002.5247638876
2024-04-08,15954.190069055141,20971.802131583907,10715.505578357817,8237.45058459489,532308.9374738502
2024-04-15,56250.93785809119,2464.459209979972,10528.809599056793,3177.6203603472995,709161.9365968356
2024-04-22,11072.368459380563,16338.605632379868,16167.608400368728,1622.5658624057344,471195.9309198393
2024-04-29,63102.89617961725,8341.881705542262,13349.314684777539,7119.003070959431,864614.5664322507
2024-05-06,48692.837254909005,20064.838131464596,14337.370667896364,6474.957044408898,770511.3976604159
2024-05-13,16305.144923569971,6882.26001213976,16120.06071928592,8835.984128507003,554823.556463778
2024-05-20,5833.937921501193,21346.256666869045,17910.10149453376,7483.174916136915,394074.3961413865
2024-05-27,43863.198348247395,12828.589696415047,7421.90798017918,8133.068838656061,743669.5644463124
2024-06-03,36501.64696951039,28228.439684628567,8136.076100158936,3179.3284394274115,556657.6116749675
2024-06-10,35214.22891526974,5850.586436087811,2785.6568569765113,2185.6756659073667,690140.4356583293
2024-06-17,34635.070542111476,11549.857829407238,11987.322678927305,7630.840140588154,365007.4383340122
2024-06-24,6789.966459461837,5177.258594736494,1682.9032021380997,8164.930023039008,455975.59947807697
2024-07-01,16065.597375965832,27891.421311799757,9846.362344516743,9909.798849006396,500524.3699718183
2024-07-08,7243.278919548944,26565.501894667468,11310.248059443957,4419.867930658551,486447.6707939108
2024-07-15,29032.513791468868,9222.365576024356,6444.283790437404,4034.17181503144,422327.3347273403
2024-07-22,20498.846110779363,20479.553288957013,12225.831950811204,7875.92312704897,502468.2912812335
2024-07-29,11612.587058686406,24882.221605634044,1579.504748841939,3737.6336324036697,338413.91982961766
2024-08-05,4350.252632743909,17545.622724784946,1709.6155862350738,9342.194593233864,402978.76247114723
2024-08-12,10059.33021760712,16830.216193968183,16629.41065253351,8654.921142508612,410168.04166280414
2024-08-19,10064.024131622698,8771.864145212647,7843.622186813995,4575.443260062674,427615.38128312235
2024-08-26,19018.644877792347,4606.877498565178,3414.1497403858107,7633.275144019225,430144.48102292954
2024-09-02,16847.38583840349,27122.041222693148,10922.621941041283,7668.157303804483,284592.0204758638
2024-09-09,22674.317472581504,27211.705600573252,15629.877508873606,1479.67675394136,249368.7965567758
2024-09-16,13560.374976905738,19726.840803651503,5100.59952244002,9074.252613455883,444909.91390982474
2024-09-23,5559.5658182226125,11492.83414936362,12834.919040561004,5299.897538254643,374428.3380228731
2024-09-30,20818.607298721374,11777.868089154505,2621.601834881592,8351.345928023546,297605.94244104123
2024-10-07,23278.405269465486,22326.759008366702,1981.9527022035463,3540.471209790812,460013.5965022662
2024-10-14,19102.336522266323,27119.08727867216,11095.737999794812,9007.470670713905,362556.7906258659
2024-10-21,26782.265746105597,26838.419879423283,11272.067310592023,4197.415947974549,444597.4213419849
2024-10-28,19677.092716027244,23836.51528401347,13111.168128465924,602.9576890628344,372139.90490680333
2024-11-04,22106.85419350126,19976.88609232006,14795.735340730569,9101.128775983005,531748.3437885991
2024-11-11,20131.236742365323,4355.919019861367,19541.189509788157,1367.223429468269,523840.7274004816
2024-11-18,5458.544643960981,6525.603994649186,10809.706617722712,3533.479557108941,380587.99945435626
2024-11-25,9342.824521503042,27159.51727875822,7136.172985883673,9525.588686982646,495389.9269002052
2024-12-02,6467.800006200782,18980.013670468517,16108.53770060537,9530.767895906783,485831.4843983904
2024-12-09,35943.97514250512,2257.51744526563,6145.81277397941,5947.659937171218,569112.7195310062
2024-12-16,21591.68424812399,4841.2032002488995,9340.456993407086,6502.453515613093,374537.943267517
2024-12-23,33046.61095573898,20578.049535025562,2490.671245503053,4760.2324587940375,548043.8129973693
